group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
ACA	3	post	-4.062824395238136	-4.878621500365588	-3.626241460138438	-3.704201600989517	-3.857288088117327	-3.6498281907062142	0.4484453925064632	31
ACA	3	pre	-4.413789345293629	-4.927527836390904	-3.6227680517702687	-3.7549932927501444	-4.18090329851423	-3.7414853816129723	0.533239332997069	32
ACA	3	post	-4.213977093599281	-4.777958704500782	-3.596223913893408	-3.704012209055375	-3.905332093336144	-3.804619599361809	0.4758049377373287	32
ACA	3	pre	-4.346487556185041	-4.9297194480896	-3.6003722560649014	-3.806047634202607	-4.154308435868243	-3.8470653806413924	0.5329558338437762	33
ACA	3	post	-3.827941578261706	-5.017711824300338	-3.567443964432697	-3.704056895509058	-3.754813748963025	-3.64312405488929	0.44744790026119774	33
ACA	3	pre	-4.448136397770472	-4.876816029451331	-3.5787003429568545	-3.805784965048031	-4.158649853297643	-3.800637863120254	0.5356094666889736	34
ACA	3	post	-3.9995622294289723	-4.929248128618513	-3.6134963814093144	-3.704040371641821	-3.80594252566902	-3.650295763599629	0.4378774044465046	34
ACA	3	pre	-4.377092702048166	-4.87612230923711	-3.5828483007392107	-3.7040616054924165	-4.002544772868253	-3.7010492208052654	0.524616535829038	35
ACA	3	post	-3.859928427910318	-5.041755296746079	-3.5681334904261996	-3.7041937331764068	-3.907119843424583	-3.6402951843884526	0.46091889483588083	35
ACA	3	pre	-4.295799391610282	-5.037965779401818	-3.60630802232392	-3.704072198089288	-4.009175378449109	-3.6433410352590134	0.533393957176987	36
ACA	3	post	-4.1234303250604745	-4.934419393539429	-3.584656077988294	-3.75494300102701	-3.8059941359928677	-3.695861796943509	0.4764548880713326	36
ACA	3	pre	-4.065108985316996	-5.038068206942811	-3.577797047945918	-3.7551053008254693	-3.856623785836356	-3.7481362868328483	0.5011410354351511	37
ACA	3	post	-4.007243876554528	-4.997173435833989	-3.604572228022984	-3.703798688187891	-3.8568897247314453	-3.6526495291262258	0.4953560756177319	37
