	eta_DMN	group	n_subj	prepost
139	-3.9403039095353107	RSC	4	post
140	-3.974346501486642	RSC	4	pre
141	-3.780991641842589	RSC	4	post
142	-4.369112861399747	RSC	4	pre
143	-4.039534276845504	RSC	4	post
144	-4.194817854433643	RSC	4	pre
145	-3.9837474141802107	RSC	4	post
146	-4.019879871485185	RSC	4	pre
147	-3.864967784103082	RSC	4	post
148	-3.9150578635079523	RSC	5	pre
149	-3.871084179197039	RSC	5	post
150	-4.08781589780535	RSC	5	pre
151	-3.9164971040219676	RSC	5	post
152	-4.403570214096381	RSC	5	pre
153	-4.111939945999457	RSC	5	post
154	-4.328818593706403	RSC	5	pre
155	-3.922270171496333	RSC	5	post
156	-4.312533091525642	RSC	5	pre
157	-3.957525832312448	RSC	5	post
158	-4.208280154636928	RSC	5	pre
159	-4.024912065389205	RSC	5	post
160	-4.315266857341844	RSC	5	pre
161	-3.8745990188754336	RSC	5	post
162	-4.533478873116629	RSC	5	pre
163	-4.279166143767688	RSC	5	post
164	-4.488469493632413	RSC	5	pre
165	-4.07668645527898	RSC	5	post
166	-4.424588670535964	RSC	5	pre
167	-4.00063875743321	RSC	5	post
168	-4.2521719981213	RSC	5	pre
169	-3.873974201630573	RSC	5	post
170	-4.489759513310023	RSC	5	pre
171	-4.048911104396898	RSC	5	post
172	-3.9137947608013546	RSC	5	pre
173	-3.8738900106780383	RSC	5	post
174	-4.241162285512807	RSC	5	pre
175	-3.8815280272036183	RSC	5	post
176	-4.173852803755779	RSC	5	pre
177	-3.8618434497288296	RSC	5	post
178	-4.116006958241366	RSC	5	pre
179	-3.7915364284904634	RSC	5	post
180	-4.08442354688839	RSC	5	pre
181	-3.8501284365751305	RSC	5	post
182	-4.004536706574109	RSC	5	pre
183	-3.854853547349268	RSC	5	post
184	-4.1497776265047035	RSC	5	pre
185	-3.844888823372977	RSC	5	post
186	-4.129731523747347	RSC	5	pre
187	-3.918049520375777	RSC	5	post
188	-4.28355624237839	RSC	6	pre
189	-3.8964859368849774	RSC	6	post
190	-4.146015648939171	RSC	6	pre
191	-3.916488637729567	RSC	6	post
192	-4.0170429434095105	RSC	6	pre
193	-3.8417870949725716	RSC	6	post
194	-4.4726439592789635	RSC	6	pre
195	-4.011841569628034	RSC	6	post
196	-4.053851443894056	RSC	6	pre
197	-3.8255723739156915	RSC	6	post
198	-4.367107615178945	RSC	6	pre
199	-3.943798284141385	RSC	6	post
200	-4.542643230788562	RSC	6	pre
201	-3.968685043101408	RSC	6	post
202	-4.1869734404038415	RSC	6	pre
203	-3.825686284473964	RSC	6	post
204	-4.240846050028898	RSC	6	pre
205	-4.002145460673741	RSC	6	post
206	-4.436714712454348	RSC	6	pre
207	-3.9565625190734863	RSC	6	post
208	-4.394794259752546	RSC	6	pre
209	-3.993969537773911	RSC	6	post
210	-4.3957217128909365	RSC	6	pre
211	-3.8671753455181515	RSC	6	post
212	-4.052709569736403	RSC	6	pre
213	-3.8452379168296345	RSC	6	post
214	-4.3536240032741	RSC	6	pre
215	-3.912357437367342	RSC	6	post
216	-4.2962123277236	RSC	6	pre
217	-3.8697743026577696	RSC	6	post
218	-4.033681003414855	RSC	6	pre
219	-3.90910512573865	RSC	6	post
220	-4.0995395134906385	RSC	6	pre
221	-3.807528456863092	RSC	6	post
222	-4.318342753819056	RSC	6	pre
223	-3.865224993958765	RSC	6	post
224	-4.414390685606976	RSC	6	pre
225	-3.9901765220019283	RSC	6	post
226	-4.361983182478924	RSC	6	pre
227	-3.8419618314626263	RSC	6	post
228	-3.9920346493623695	RSC	7	pre
229	-3.8298208226962966	RSC	7	post
230	-4.027370486940656	RSC	7	pre
231	-3.9093801488681716	RSC	7	post
232	-4.343795153559471	RSC	7	pre
233	-4.020756161942774	RSC	7	post
234	-3.9489502517544492	RSC	7	pre
235	-3.8208334883865045	RSC	7	post
236	-4.08646440019413	RSC	7	pre
237	-3.887800119361099	RSC	7	post
238	-4.440259884814827	RSC	7	pre
239	-3.9903819512347782	RSC	7	post
240	-4.026993702869026	RSC	7	pre
241	-3.878628740505296	RSC	7	post
242	-4.250000442777361	RSC	7	pre
243	-3.888815008864111	RSC	7	post
244	-4.106669742233899	RSC	7	pre
245	-3.89935218071451	RSC	7	post
246	-4.105841870210609	RSC	7	pre
247	-3.9363206746626873	RSC	7	post
248	-4.165424278804234	RSC	7	pre
249	-3.926042318344116	RSC	7	post
250	-4.405607705213585	RSC	7	pre
251	-3.8905868432959734	RSC	7	post
252	-4.388020447322301	RSC	7	pre
253	-3.895986167752013	RSC	7	post
254	-4.457678493188352	RSC	7	pre
255	-4.023781270396952	RSC	7	post
256	-4.402493111941279	RSC	7	pre
257	-3.946659292493548	RSC	7	post
258	-4.490694912112489	RSC	7	pre
259	-3.96999453525154	RSC	7	post
260	-4.278987125474579	RSC	7	pre
261	-3.8826776426665637	RSC	7	post
262	-4.184910530946692	RSC	7	pre
263	-3.889413760632885	RSC	7	post
264	-3.9653736523219516	RSC	7	pre
265	-3.800834504925475	RSC	7	post
266	-4.335717989473927	RSC	7	pre
267	-3.871920872707756	RSC	7	post
268	-4.445278571576488	RSC	8	pre
269	-3.943093475030393	RSC	8	post
270	-4.31540786976717	RSC	8	pre
271	-3.914642333984375	RSC	8	post
272	-4.162233050988645	RSC	8	pre
273	-3.871474961845242	RSC	8	post
274	-4.37881242985628	RSC	8	pre
275	-3.9017188111130072	RSC	8	post
276	-4.212509851066434	RSC	8	pre
277	-3.984878029142107	RSC	8	post
278	-4.441652852661756	RSC	8	pre
