group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6,ks_fc,ks_fcd,ks_fc_fcd,corr_fc
RSC,1,3,0.7004856,-4.1114016,-4.834465,-5.1083417,-4.3964696,-4.7273912,-3.9238307,0.04955418381344312,0.5597399326938486,0.6092941165072917,0.18907541832786337
RSC,1,4,0.5849417,-4.3192525,-5.2976594,-4.3727636,-3.610845,-4.647595,-4.8642616,1.0,1.0,2.0,0.0
RSC,1,5,0.92013144,-4.396191,-4.530074,-5.387183,-4.522303,-5.5155463,-4.5537453,0.13460219478738,0.7523637279366315,0.8869659227240115,0.0876689863145558
RSC,1,6,0.6317647,-3.7240043,-4.9859476,-5.245055,-4.63055,-4.6191826,-4.0562997,1.0,1.0,2.0,0.0
RSC,1,7,0.9049734,-4.0422635,-5.032915,-4.442938,-5.153306,-5.0685825,-5.025825,1.0,1.0,2.0,0.0
RSC,1,8,0.630886,-4.0987372,-4.842349,-4.875929,-4.3751917,-5.620703,-4.460406,0.12740054869684497,0.781896018864037,0.909296567560882,0.05012501498792817
RSC,1,9,0.5303802,-4.4264054,-4.956848,-4.304974,-4.119924,-3.9929228,-4.765489,1.0,1.0,2.0,0.0
RSC,1,10,0.79635763,-4.080182,-5.088296,-5.8656654,-5.2152176,-4.0104666,-5.299571,1.0,1.0,2.0,0.0
RSC,1,11,0.646729,-3.6764731,-4.547305,-4.9455585,-4.0540366,-5.0858355,-4.9778523,1.0,1.0,2.0,0.0
RSC,1,12,0.63155115,-3.5077784,-5.456223,-3.7184243,-5.484877,-5.0295653,-5.1759205,1.0,1.0,2.0,0.0
RSC,1,13,0.9008408,-4.513686,-4.757814,-5.947807,-5.170836,-4.0932,-4.416523,0.13357338820301784,0.453332112360065,0.5869055005630828,0.18339017621440581
RSC,1,14,0.7977836,-4.7563186,-5.027994,-5.5385857,-4.3463016,-4.794736,-4.637771,0.1286008230452675,0.23497630548751172,0.36357712853277924,0.08826678031610044
RSC,1,15,0.76796824,-3.6926005,-4.6690335,-4.692079,-5.1561418,-4.8286223,-5.3137465,0.14831961591220855,0.7803850644444953,0.9287046803567038,0.044783111350060675
RSC,1,16,0.77049524,-3.9646375,-3.941214,-5.8420677,-4.028958,-5.3891,-5.495307,1.0,1.0,2.0,0.0
RSC,1,17,0.7915325,-3.7656598,-5.210429,-4.646396,-5.727691,-4.269785,-3.6684186,1.0,1.0,2.0,0.0
RSC,1,18,0.63276345,-3.9797277,-5.2032557,-5.490224,-4.5262647,-5.663075,-5.9284635,0.02914951989026071,0.709873858199217,0.7390233780894777,0.10876804695331735
RSC,1,19,0.67329425,-3.885962,-4.89625,-4.6246915,-5.1009955,-5.434779,-5.150927,1.0,1.0,2.0,0.0
RSC,1,20,0.8612072,-4.4961185,-5.4039645,-4.4298053,-5.309815,-4.8866706,-5.3367085,1.0,1.0,2.0,0.0
RSC,1,21,0.6015677,-4.215357,-5.3132067,-4.4253736,-4.093436,-5.7706795,-5.227631,0.14643347050754457,0.7189853712140291,0.8654188417215736,0.028822955734485133
RSC,1,22,0.6378434,-4.248335,-5.549912,-4.3202405,-3.5885897,-4.592672,-4.2843986,1.0,1.0,2.0,0.0
RSC,1,23,0.7222533,-4.23485,-5.1333795,-5.2046905,-5.0472164,-4.2581687,-4.113896,0.12722908093278468,0.5066275955220806,0.6338566764548652,0.02646728231445876
RSC,1,24,0.66901785,-4.106111,-5.3007526,-3.9209046,-5.1228843,-4.839896,-4.5965166,1.0,1.0,2.0,0.0
RSC,1,25,0.8178237,-4.3639116,-4.4442754,-5.492348,-4.7078276,-4.0132,-4.5375595,1.0,1.0,2.0,0.0
RSC,1,26,0.53255796,-4.176507,-4.8572483,-4.7580442,-4.469783,-3.5315318,-4.134933,0.20919067215363513,0.8027746617522493,1.0119653339058845,0.07543379691183183
RSC,1,27,0.6988615,-3.9733043,-5.146476,-4.6506996,-5.0359464,-4.7108254,-4.4721136,0.2133058984910836,0.27403218790778594,0.48733808639886955,0.2610716368326899
RSC,1,28,0.60605335,-3.5159357,-5.3573937,-4.9126782,-4.283484,-4.241314,-5.829764,1.0,1.0,2.0,0.0
RSC,1,29,0.69871855,-3.7948573,-5.185176,-5.8446264,-5.075199,-3.564149,-3.5511904,1.0,1.0,2.0,0.0
RSC,1,30,0.83022624,-4.290992,-5.0142856,-4.9246106,-4.5779085,-4.158918,-4.1904135,0.13357338820301784,0.7225567180238547,0.8561301062268725,0.08342188840754759
RSC,1,31,0.8901193,-4.462249,-4.9686193,-4.590304,-5.9077597,-5.117587,-5.182341,1.0,1.0,2.0,0.0
RSC,1,32,0.6567864,-4.151895,-4.913918,-4.4850497,-5.4211187,-4.3065104,-4.771419,1.0,1.0,2.0,0.0
RSC,1,33,0.8124277,-4.353838,-4.978051,-4.5374417,-4.0302153,-5.8101296,-4.5565524,1.0,1.0,2.0,0.0
RSC,1,34,0.6184674,-3.5450153,-4.8450747,-5.0932083,-4.6347003,-4.8310013,-4.961941,1.0,1.0,2.0,0.0
RSC,1,35,0.80298525,-4.2042613,-4.849055,-5.1502495,-5.2089005,-3.9832494,-5.7084208,0.2066186556927298,0.7943041597033036,1.0009228153960334,0.12962784895674828
RSC,1,36,0.7330193,-4.0534472,-4.455737,-5.323797,-4.4324303,-3.619112,-5.5066915,1.0,1.0,2.0,0.0
RSC,1,37,0.7962644,-4.0102487,-5.835393,-4.6347146,-4.9109244,-4.372394,-4.426533,1.0,1.0,2.0,0.0
RSC,1,38,0.7748187,-4.1649623,-5.0697927,-4.8539257,-5.6665387,-4.4659,-4.335988,0.11334019204389578,0.6303884984318125,0.7437286904757083,0.06762912756885762
RSC,1,39,0.85625654,-4.444511,-4.6580687,-4.34864,-4.85213,-4.1307983,-4.987644,1.0,1.0,2.0,0.0
RSC,1,40,0.61813897,-3.8429806,-5.3567834,-4.405452,-3.6364613,-5.759237,-4.782115,1.0,1.0,2.0,0.0
RSC,1,41,0.64840287,-3.7676125,-4.2280226,-5.1535935,-4.019091,-5.8899035,-3.9402988,1.0,1.0,2.0,0.0
RSC,1,42,0.72232085,-3.5541842,-5.1297903,-5.435294,-4.5359077,-4.6330624,-5.3118753,1.0,1.0,2.0,0.0
