group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6
RSC,1,5,0.92013144,-4.396191,-4.530074,-5.387183,-4.522303,-5.5155463,-4.5537453
RSC,1,6,0.6317647,-3.7240043,-4.9859476,-5.245055,-4.63055,-4.6191826,-4.0562997
RSC,1,7,0.9049734,-4.0422635,-5.032915,-4.442938,-5.153306,-5.0685825,-5.025825
RSC,1,8,0.630886,-4.0987372,-4.842349,-4.875929,-4.3751917,-5.620703,-4.460406
RSC,1,9,0.5303802,-4.4264054,-4.956848,-4.304974,-4.119924,-3.9929228,-4.765489
RSC,1,10,0.79635763,-4.080182,-5.088296,-5.8656654,-5.2152176,-4.0104666,-5.299571
RSC,1,11,0.646729,-3.6764731,-4.547305,-4.9455585,-4.0540366,-5.0858355,-4.9778523
RSC,1,12,0.63155115,-3.5077784,-5.456223,-3.7184243,-5.484877,-5.0295653,-5.1759205
RSC,1,13,0.9008408,-4.513686,-4.757814,-5.947807,-5.170836,-4.0932,-4.416523
RSC,1,14,0.7977836,-4.7563186,-5.027994,-5.5385857,-4.3463016,-4.794736,-4.637771
RSC,1,15,0.76796824,-3.6926005,-4.6690335,-4.692079,-5.1561418,-4.8286223,-5.3137465
RSC,1,16,0.77049524,-3.9646375,-3.941214,-5.8420677,-4.028958,-5.3891,-5.495307
RSC,1,17,0.7915325,-3.7656598,-5.210429,-4.646396,-5.727691,-4.269785,-3.6684186
RSC,1,18,0.63276345,-3.9797277,-5.2032557,-5.490224,-4.5262647,-5.663075,-5.9284635
RSC,1,19,0.67329425,-3.885962,-4.89625,-4.6246915,-5.1009955,-5.434779,-5.150927
RSC,1,20,0.8612072,-4.4961185,-5.4039645,-4.4298053,-5.309815,-4.8866706,-5.3367085
RSC,1,21,0.6015677,-4.215357,-5.3132067,-4.4253736,-4.093436,-5.7706795,-5.227631
RSC,1,22,0.6378434,-4.248335,-5.549912,-4.3202405,-3.5885897,-4.592672,-4.2843986
RSC,1,23,0.7222533,-4.23485,-5.1333795,-5.2046905,-5.0472164,-4.2581687,-4.113896
RSC,1,24,0.66901785,-4.106111,-5.3007526,-3.9209046,-5.1228843,-4.839896,-4.5965166
RSC,1,25,0.8178237,-4.3639116,-4.4442754,-5.492348,-4.7078276,-4.0132,-4.5375595
RSC,1,26,0.53255796,-4.176507,-4.8572483,-4.7580442,-4.469783,-3.5315318,-4.134933
RSC,1,27,0.6988615,-3.9733043,-5.146476,-4.6506996,-5.0359464,-4.7108254,-4.4721136
RSC,1,28,0.60605335,-3.5159357,-5.3573937,-4.9126782,-4.283484,-4.241314,-5.829764
RSC,1,29,0.69871855,-3.7948573,-5.185176,-5.8446264,-5.075199,-3.564149,-3.5511904
RSC,1,30,0.83022624,-4.290992,-5.0142856,-4.9246106,-4.5779085,-4.158918,-4.1904135
RSC,1,31,0.8901193,-4.462249,-4.9686193,-4.590304,-5.9077597,-5.117587,-5.182341
RSC,1,32,0.6567864,-4.151895,-4.913918,-4.4850497,-5.4211187,-4.3065104,-4.771419
RSC,1,33,0.8124277,-4.353838,-4.978051,-4.5374417,-4.0302153,-5.8101296,-4.5565524
RSC,1,34,0.6184674,-3.5450153,-4.8450747,-5.0932083,-4.6347003,-4.8310013,-4.961941
RSC,1,35,0.80298525,-4.2042613,-4.849055,-5.1502495,-5.2089005,-3.9832494,-5.7084208
RSC,1,36,0.7330193,-4.0534472,-4.455737,-5.323797,-4.4324303,-3.619112,-5.5066915
RSC,1,37,0.7962644,-4.0102487,-5.835393,-4.6347146,-4.9109244,-4.372394,-4.426533
RSC,1,38,0.7748187,-4.1649623,-5.0697927,-4.8539257,-5.6665387,-4.4659,-4.335988
RSC,1,39,0.85625654,-4.444511,-4.6580687,-4.34864,-4.85213,-4.1307983,-4.987644
RSC,1,40,0.61813897,-3.8429806,-5.3567834,-4.405452,-3.6364613,-5.759237,-4.782115
RSC,1,41,0.64840287,-3.7676125,-4.2280226,-5.1535935,-4.019091,-5.8899035,-3.9402988
RSC,1,42,0.72232085,-3.5541842,-5.1297903,-5.435294,-4.5359077,-4.6330624,-5.3118753
RSC,1,43,0.6468381,-4.5952716,-4.9693437,-4.539809,-3.653133,-5.6016383,-5.538084
RSC,1,44,0.82478577,-4.6466618,-5.7071133,-4.6511555,-4.9863396,-4.781221,-4.905378
RSC,1,45,0.86826885,-4.3524446,-5.8750014,-4.56292,-4.1469455,-4.835716,-4.596649
RSC,1,46,0.8353596,-3.6021624,-5.2705517,-4.6527715,-5.483928,-5.8234262,-4.956612
RSC,1,47,0.74799055,-3.9875712,-5.7486286,-4.4252563,-3.7318974,-5.174508,-4.7651105
RSC,1,48,0.82626456,-3.7643979,-5.641966,-3.904889,-5.5841393,-5.5292783,-5.428745
RSC,1,49,0.68258506,-4.1644144,-4.2499065,-5.1968966,-4.669221,-3.789907,-4.918921
RSC,1,50,0.6697051,-4.1203394,-5.3403378,-4.5612187,-4.0151286,-4.6143403,-5.3512526
RSC,1,51,0.7845804,-3.9441724,-4.742867,-4.7200146,-4.7601476,-4.4938216,-5.5761847
RSC,1,52,0.7175335,-4.0234265,-4.660309,-5.312562,-4.688804,-3.9992895,-4.1480875
RSC,1,53,0.5610469,-3.9586353,-4.9404864,-4.615716,-4.5964966,-5.942798,-4.609676
